Data;Arquivo;Caminho;Inativo;Riscos;Tamanho_MB
21/03/2026 21:53;GimpGradientFile.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\GimpGradientFile.py;NÃO;Credencial;0.004
21/03/2026 21:53;ExifTags.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ExifTags.py;NÃO;Credencial;0.01
21/03/2026 21:53;GifImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\GifImagePlugin.py;NÃO;Credencial;0.041
21/03/2026 21:53;FpxImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\FpxImagePlugin.py;NÃO;Credencial;0.007
21/03/2026 21:53;GimpPaletteFile.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\GimpPaletteFile.py;NÃO;Credencial;0.002
21/03/2026 21:53;IcnsImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\IcnsImagePlugin.py;NÃO;Credencial;0.012
21/03/2026 21:53;ImageColor.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageColor.py;NÃO;Credencial;0.009
21/03/2026 21:53;ImageDraw2.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageDraw2.py;NÃO;Credencial;0.007
21/03/2026 21:53;ImageChops.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageChops.py;NÃO;Credencial;0.008
21/03/2026 21:53;EpsImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\EpsImagePlugin.py;NÃO;Credencial;0.016
21/03/2026 21:53;ImageDraw.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageDraw.py;NÃO;Credencial;0.036
21/03/2026 21:53;ImageEnhance.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageEnhance.py;NÃO;Credencial;0.004
21/03/2026 21:53;Image.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\Image.py;NÃO;Credencial;0.145
21/03/2026 21:53;IcoImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\IcoImagePlugin.py;NÃO;Credencial;0.012
21/03/2026 21:53;ImageMath.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageMath.py;NÃO;Credencial;0.01
21/03/2026 21:53;ImageFont.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageFont.py;NÃO;Credencial;0.061
21/03/2026 21:53;ImageGrab.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageGrab.py;NÃO;Credencial;0.006
21/03/2026 21:53;ImagePalette.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImagePalette.py;NÃO;Credencial;0.009
21/03/2026 21:53;ImageFile.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageFile.py;NÃO;Credencial;0.029
21/03/2026 21:53;ImageFilter.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageFilter.py;NÃO;Credencial;0.018
21/03/2026 21:53;ImageShow.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageShow.py;NÃO;Credencial;0.01
21/03/2026 21:53;ImImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImImagePlugin.py;NÃO;Credencial;0.011
21/03/2026 21:53;JpegImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\JpegImagePlugin.py;NÃO;Credencial;0.031
21/03/2026 21:53;McIdasImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\McIdasImagePlugin.py;NÃO;Credencial;0.002
21/03/2026 21:53;MicImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\MicImagePlugin.py;NÃO;Credencial;0.003
21/03/2026 21:53;ImtImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImtImagePlugin.py;NÃO;Credencial;0.003
21/03/2026 21:53;ImageTk.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageTk.py;NÃO;Credencial;0.008
21/03/2026 21:53;ImageTransform.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageTransform.py;NÃO;Credencial;0.004
21/03/2026 21:53;MpegImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\MpegImagePlugin.py;NÃO;Credencial;0.002
21/03/2026 21:53;ImageQt.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageQt.py;NÃO;Credencial;0.007
21/03/2026 21:53;PcdImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\PcdImagePlugin.py;NÃO;Credencial;0.002
21/03/2026 21:53;IptcImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\IptcImagePlugin.py;NÃO;Credencial;0.006
21/03/2026 21:53;MspImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\MspImagePlugin.py;NÃO;Credencial;0.006
21/03/2026 21:53;ImageSequence.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageSequence.py;NÃO;Credencial;0.002
21/03/2026 21:53;ImagePath.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImagePath.py;NÃO;Credencial;0.0
21/03/2026 21:53;ImageMode.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageMode.py;NÃO;Credencial;0.002
21/03/2026 21:53;ImageStat.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\ImageStat.py;NÃO;Credencial;0.005
21/03/2026 21:53;PcfFontFile.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\PcfFontFile.py;NÃO;Credencial;0.007
21/03/2026 21:53;PixarImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\PixarImagePlugin.py;NÃO;Credencial;0.002
21/03/2026 21:53;PSDraw.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\PSDraw.py;NÃO;Credencial;0.007
21/03/2026 21:53;PdfImagePlugin.py;C:\Users\moniq\ache-flow-ia\venv\Lib\site-packages\PIL\PdfImagePlugin.py;NÃO;Credencial;0.009
